id,candidate_no,candidate_label,keitai,lemma_term,surface_term,match_source,work_id,title_ja,title_zh,token_ids,sentence_id,sentence_index,kwic_left,key,kwic_right,surface,lemma,lemma_reading,lemma_id,pos,orth_base,pronunciation,goshu,ja_sentence,zh_translation,align_type,align_score,review_note
both-book01-1462-24530,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,24530,1462,1462,そこかしこ|に|ひまわり|の|花|が|咲い|て|いる|。|あくまで|も|モチーフ|だ|から|、|色|は|水色|。,ずっと,ここ|に|い|た|ん|だ|ね|。|駅|に|むかう|私|の|後|を|少女|が|つい|て|くる,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,ずっとここにいたんだね。,原来你一直都在这里啊。,1:1,1.0,
both-book01-1467-24622,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,24622,1467,1467,は|ひと|つ|だけ|だっ|た|けれど|、|私|は|二人|で|電車|を|待っ|た|。|ごめん|ね|、,ずっと,ほうっ|て|おい|て|。|で|も|、|もう|いい|ん|だ|よ|。|上り|列車|が|ホーム|に|滑りこん,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,ごめんね、ずっとほうっておいて。,对不起啊，一直把你扔在这里不管。,1:1,1.0,
both-book01-1482-24758,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,24758,1482,1482,は|「|ちょっと|あんた|何|やっ|てる|の|」|だっ|た|。|「|しばらく|居|させ|て|。|ううん|、,ずっと,居|させ|て|」|急須|の|お|茶|を|祥子|専用|の|湯のみ|に|注ぎ|ながら|、|母|が|呆れ声,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,ううん、ずっと居させて」,母亲拿起茶壶，往祥子专用的茶杯里倒茶，用不明所以的语气说道：“我不知道你受了什么委屈……孝之知不知道你在这儿?”,4:1,0.635087,
both-book01-1806-29792,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,29792,1806,1806,来る|たび|に|そう|言っ|て|いる|の|だ|が|、|何|に|つけ|捨て|ない|性分|の|母|は,ずっと,その|まま|に|し|て|いる|。|母|に|尋ね|たら|、|「|やっぱり|ね|。|とっ|とい|て|良かっ,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,もう処分しちゃっていいよ、来るたびにそう言っているのだが、何につけ捨てない性分の母はずっとそのままにしている。,每次回家，她都会跟家里人说：“可以把它处理掉了。” / 但舍不得扔东西的母亲一直没动它。,1:2,1.0,
both-book01-1923-31601,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,31601,1923,1923,けれど|、|半分|以上|の|人|が|残っ|て|い|た|その|カラオケ|の|店|で|は|、|席|は,ずっと,遠く|離れ|た|まま|だっ|た|。|翌日|、|祥子|は|駅|ビル|に|出かけ|た|。|お|盆休み|で,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,迷っていた二次会にも祥子は参加したのだけれど、半分以上の人が残っていたそのカラオケの店では、席はずっと遠く離れたままだった。,祥子原本有些犹豫要不要续摊，但最后还是去了。 / 可惜半个班的人都去了同一家卡拉OK厅，两个人一直隔得老远。,1:2,1.0,
both-book01-1971-32399,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,32399,1971,1971,に|なれる|か|な|？|本文|／|当たりまえ|じゃん|。|もちろん|俺|は|本気|だ|から|ね|。|祥子|と,ずっと,一緒|に|生き|て|いけ|たら|と|思っ|て|いる|。|指輪|は|もう|少し|待っ|て|ね|。|たいした,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,祥子とずっと一緒に生きていけたらと思っている。,正文/还用问吗? / 我可是认真的啊。,1:2,0.823653,
both-book01-2017-33139,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,33139,2017,2017,や|もらっ|た|品|は|、|失恋|する|たび|に|捨て|た|。|だ|けど|、|この|手紙|だけ|は,ずっと,残し|て|ある|。|失恋|し|た|わけ|じゃ|ない|から|。|自分|に|も|こんな|時代|が|あっ|た,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,だけど、この手紙だけはずっと残してある。,每次失恋，祥子都会把前男友的照片，还有他们送的礼物扔光。 / 唯独这些信一直留到了今天。,2:2,0.964786,
both-book01-2132-34873,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,34873,2132,2132,首|を|縮め|て|作業|を|し|て|いる|。|いつ|か|ここ|の|梨|棚|は|、|いま|より,ずっと,高く|なる|だろう|。|母|は|、|梨|農家|婦人|御|用達|の|、|発泡|スチロール|製|の|高|下駄,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,いつかここの梨棚は、いまよりずっと高くなるだろう。,不过这梨架总有一天是要抬高的。,1:1,0.957252,
both-book01-2164-35252,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,35252,2164,2164,？|」|「|え|？|」|「|毎晩|メール|？|　|送っ|て|ない|よ|、|俺|」|祥子|は,ずっと,スマート|フォン|を|見つめ|て|い|た|。|時刻|は|午後|十|時|すぎ|。|また|あの|不思議|な|メール,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,祥子はずっとスマートフォンを見つめていた。,祥子死死盯着手机屏幕。 / 现在是晚上十点多，她有一种预感，那不可思议的短信一定会再来的。,3:2,0.838223,
both-book01-2228-36260,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,36260,2228,2228,の|写真|だ|。|もう|ひと|つ|の|写真|の|中|で|笑っ|て|いる|の|は|、|祥子|より,ずっと,若い|、|麗|亜|ちゃん|より|若い|か|も|しれ|ない|若者|だ|。|祥子|は|もちろん|、|父|も,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,もうひとつの写真の中で笑っているのは、祥子よりずっと若い、麗亜ちゃんより若いかもしれない若者だ。,另一张照片中微笑的青年要比祥子年轻许多，说不定比丽亚还小。 / 别说祥子了，就连父亲也只见过他的照片。 / 那就是祥子的祖父。,2:3,0.898784,
both-book01-2236-36377,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,36377,2236,2236,と|いう|もの|の|存在|を|知っ|て|いる|誰|か|の|悪戯|。|そう|考え|た|ほう|が|、,ずっと,現実|的|だ|。|だ|けど|、|祥子|は|素直|に|、|この|出来事|を|信じる|こと|に|し|た,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,そう考えたほうが、ずっと現実的だ。,也许是知道奶奶还留着那些军事邮件的人开的玩笑，这么想要现实得多。,2:1,0.944704,
both-book01-2280-37018,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,37018,2280,2280,、|イネ|と|いう|の|は|お|コメ|を|つくる|草|の|こと|だ|。|生まれ|て|から|八|年間,ずっと,大きな|街|で|暮らし|て|い|た|から|、|茜|は|知ら|なかっ|た|。|茜|が|二|カ月|前,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,生まれてから八年間ずっと大きな街で暮らしていたから、茜は知らなかった。,给大家普及一下，稻子就是会结出大米的草。 / 小茜出生后的头八年是在大城市度过的，原本不知道这点。,2:2,0.89606,
both-book01-2364-38079,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,38079,2364,2364,。|母|ちゃん|が|「|しばらく|お|世話|に|なり|ます|」|と|言っ|た|とき|に|は|、|「,ずっと,い|て|いい|ん|だ|よ|」|と|笑っ|て|くれ|た|の|に|、|泰子|おば|さん|の|「,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,母ちゃんが「しばらくお世話になります」と言ったときには、「ずっといていいんだよ」と笑ってくれたのに、泰子おばさんの「ずっと」は十日間ぐらいだった。,“我们要在你家叨扰几天了……”妈妈这么说的时候，她还笑着回答：“一直住这儿都没问题。” / 没想到舅妈的“一直”只有十来天。,1:2,1.0,
both-book01-2364-38100,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,38100,2364,2364,い|て|いい|ん|だ|よ|」|と|笑っ|て|くれ|た|の|に|、|泰子|おば|さん|の|「,ずっと,」|は|十|日間|ぐらい|だっ|た|。|最近|は|茜|が|、|おはよう|、|お|やすみ|なさい|、|と,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,母ちゃんが「しばらくお世話になります」と言ったときには、「ずっといていいんだよ」と笑ってくれたのに、泰子おばさんの「ずっと」は十日間ぐらいだった。,“我们要在你家叨扰几天了……”妈妈这么说的时候，她还笑着回答：“一直住这儿都没问题。” / 没想到舅妈的“一直”只有十来天。,1:2,1.0,
both-book01-2663-41519,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,41519,2663,2663,さ|せ|て|首|を|振っ|た|。|いつ|まで|も|振っ|て|い|た|。|ほうっ|て|おく|と,ずっと,そう|し|て|いる|気|が|し|て|、|茜|は|腕ぐみ|を|し|て|そっぽ|を|向い|た|。,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,ほうっておくとずっとそうしている気がして、茜は腕ぐみをしてそっぽを向いた。,小茜感觉他会一直做摇头的动作，就捧起胳膊，扭过头去，装出被停在芒草顶的红蜻蜓分散了注意力的样子，用随意的口吻说道：“你要套着也行……算啦。,3:1,0.800137,
both-book01-2974-44893,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,44893,2974,2974,の|？|」|「|虹|は|海|に|かかる|ん|だ|よ|」|雨|が|降っ|て|くる|まで|、,ずっと,茜|と|フォレスト|の|前|を|歩い|て|い|た|二人|の|影|は|、|いま|は|真横|を|つい,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,雨が降ってくるまで、ずっと茜とフォレストの前を歩いていた二人の影は、いまは真横をついてくる。,下雨之前，两个影子一直投在前面。 / 可是现在，影子贴着人的侧面往前。,1:2,1.0,
both-book01-3034-45610,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,45610,3034,3034,お前|ら|」|後ろ|から|いきなり|声|を|かけ|られ|た|。|振り向く|と|、|茜|たち|の|頭|の,ずっと,上|に|、|大きな|顔|が|あっ|た|。|色|が|真っ黒|で|髭|が|もじゃもじゃ|だっ|た|。|大きな,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,振り向くと、茜たちの頭のずっと上に、大きな顔があった。,回头望去，只见头顶上出现一张硕大的脸。,1:1,1.0,
both-book01-3152-46859,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,46859,3152,3152,忙し|げ|に|まばたき|を|し|て|ビッグ|マン|の|家|を|見まわし|て|いる|だけ|だ|。|リュック|を,ずっと,抱きしめ|て|いる|茜|より|落ち着い|て|いる|よう|に|見え|た|。|「|え|？|」|「|ぼく|小麦,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,リュックをずっと抱きしめている茜より落ち着いているように見えた。,他已经不摇头了，只是不停地眨着眼睛，环视BigMan的家，看上去比紧紧抱着背包的小茜镇定一些。,3:1,0.807876,
both-book01-3288-48605,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,48605,3288,3288,昨日|の|こと|は|忘れ|た|って|顔|を|し|て|い|た|。|茜|の|目|に|昨日|から,ずっと,我慢|し|て|い|た|涙|が|あふれ|て|き|た|。|「|怪我|は|ない|か|い|」|警官,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,茜の目に昨日からずっと我慢していた涙があふれてきた。,那模样仿佛在说，我已经把昨天的事忘光了。 / 小茜从昨天忍到现在的眼泪突然涌了出来。,2:2,1.0,
both-book01-3654-54630,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,54630,3654,3654,が|使っ|て|い|た|やつ|です|。|うち|に|は|時計|だけ|は|腐る|ほど|ある|の|に|、,ずっと,それ|ばかり|使っ|て|い|て|ね|。|ああ|、|まだ|動かせ|ば|動き|ます|けど|」|彼|に|とっ,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,うちには時計だけは腐るほどあるのに、ずっとそればかり使っていてね。,那是我老婆用过的钟。 / 我们家最不缺的就是钟了，可她一直不肯换。,1:2,1.0,
both-book01-3793-56809,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,56809,3793,3793,会社|の|場合|、|夏場|の|異動|は|、|通常|は|あり|え|ない|こと|だ|。|入社|以来|、,ずっと,営業|畑|だっ|た|私|に|、|庶務|課|へ|行け|と|言う|。|思いあたる|節|は|おおあり|だっ|た,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,入社以来、ずっと営業畑だった私に、庶務課へ行けと言う。,照理说，我们公司是不可能在夏天进行人事调动的。 / 入职后，我做的一直是销售方面的工作，但一纸调令让我去了总务科。,2:2,1.0,
both-book01-4026-60330,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,60330,4026,4026,が|好き|だっ|た|メニュー|だ|。|部活|で|テニス|を|やっ|て|い|た|頃|は|、|私|より,ずっと,大飯|喰らい|で|、|こいつ|が|食卓|に|出れ|ば|、|パン|で|も|ご飯|で|も|呆れる|ぐらい|食べ,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,部活でテニスをやっていた頃は、私よりずっと大飯喰らいで、こいつが食卓に出れば、パンでもご飯でも呆れるぐらい食べた。,铃音特别爱吃西班牙蛋卷。 / 参加学校网球社那阵子，她的饭量比我还大。 / 只要美绘子做这道菜，不管是面包还是米饭，她都能吃很多。,2:3,0.864245,
both-book01-4243-63613,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,63613,4243,4243,て|い|た|の|だ|が|。|私|たち|は|昔|から|そう|だっ|た|。|結婚|する|前|から,ずっと,。|妙|な|こと|を|思いつく|の|は|私|だ|が|、|それ|を|実行|に|移す|の|は|、,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,結婚する前からずっと。,我们夫妻一直都是这样。 / 异想天开的总是我，但关键时刻萌生退意的也是我。 / 付诸实践的那个人永远是她。,3:3,0.807375,
both-book01-4512-67699,1,ずっと,Aっと,ずっと,ずっと,both,book01,海の見える理髪店,海边理发店,67699,4512,4512,、|立ちはだから|れ|て|しまっ|た|。|「|招待|状|は|お|持ち|です|か|」|細身|の|男|より,ずっと,世馴れ|た|口調|だっ|た|。|私|は|着物|の|懐|に|手|を|突っこみ|、|羽織|の|袖|を,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,細身の男よりずっと世馴れた口調だった。,一听这口气，就知道这位的社会经验比瘦子丰富得多。 / 我把手插进和服的胸口处，又甩了甩褂子的袖管给他看，说：“啊，忘带了。” / 但壮汉貌似无意陪我演这场戏。,4:3,0.710678,
both-book02-9122-72759,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,72759,9122,129,、|地味|に|こもっ|て|何|時間|も|練習|し|たり|原稿|書い|たり|し|てる|。|確か|に|、,ずっと,キー|を|叩い|て|いる|ところ|は|同じ|だ|。|三枝子|は|同意|する|。|真弓|の|声|が|、,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,確かに、ずっとキーを叩いているところは同じだ。,确实，需要一直不停地锤炼核心本质，这一点相同。,1:1,1.0,
both-book02-9726-83475,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,83475,9726,733,ステージ|衣装|を|チェック|し|、|髪|を|結い|、|薄|化粧|を|施し|て|くれる|。|それ|は|、,ずっと,母|が|やっ|て|くれ|て|い|た|こと|だっ|た|。|スタイリスト|は|準備|が|終わる|と|退室|し,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,それは、ずっと母がやってくれていたことだった。,那是一直以来母亲做的事。,1:1,1.0,
both-book02-10071-89562,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,89562,10071,1078,蓋|を|開け|、|椅子|を|引い|て|ピアノ|の|前|に|座る|。|座り|慣れ|た|椅子|だ|。,ずっと,明石|の|重み|を|受け止め|て|き|た|クッション|の|部分|が|、|明石|の|お|尻|の|形|に,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,ずっと明石の重みを受け止めてきたクッションの部分が、明石のお尻の形に窪んでいる。,这是熟悉的椅子。 / 一直承受着明石体重的垫子部分，凹陷下明石屁股的形状。,2:2,1.0,
both-book02-10105-90386,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,90386,10105,1112,だ|と|言っ|たら|、|いつ|の|ま|に|か|ピアノ|教室|で|は|そんな|噂|が|流さ|れ|、,ずっと,からかわ|れ|続け|た|。|一人|、|執拗|に|その|こと|に|こだわる|男の子|が|い|て|、|彼|は,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,蚕部屋を改造した蔵だと言ったら、いつのまにかピアノ教室ではそんな噂が流され、ずっとからかわれ続けた。,他告诉大家那是蚕房改造的仓库，不知何时起，钢琴教室里就流传着这些闲话，他一直被大家嘲笑。,1:1,1.0,
both-book02-10541-98552,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,98552,10541,1548,。|「|まあ|、|あたし|の|勘|だけ|で|あの|パパ|が|動く|わけ|ない|から|、|元々|パパ|も,ずっと,あなた|を|気|に|掛け|て|た|ん|でしょう|けど|ね|」|お|母|さん|に|生前|何|か|頼ま,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,「まあ、あたしの勘だけであのパパが動くわけないから、元々パパもずっとあなたを気に掛けてたんでしょうけどね」,奏哈哈哈地大声笑了。 / “不过，光是有我的评价，爸爸是不会动真格的，本来爸爸就一直记挂着你呢。”,2:2,1.0,
both-book02-10587-99331,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,99331,10587,1594,て|いる|し|、|音楽|から|離れよう|と|思っ|た|こと|は|一|度|も|ない|。|それ|を|、,ずっと,舞台|に|戻り|たい|と|思っ|て|い|た|と|か|、|やっと|立ち直っ|た|と|か|思わ|れる|の,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,それを、ずっと舞台に戻りたいと思っていたとか、やっと立ち直ったとか思われるのは耐えがたいものがある。,被人误会成一直在努力重返舞台，总算站起来了，她无法忍受。 / 亚夜是个大大咧咧率性而为的人，但也有非常叛逆的一面。,2:2,1.0,
both-book02-10815-103264,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,103264,10815,1822,こと|で|ある|。|マサル|、|いったい|何|考え|てる|ん|だ|。|君|が|この|程度|の|演奏|を,ずっと,馬鹿|正直|に|聴い|て|いる|必要|なんか|ない|だろう|に|。|誰|か|の|あきれ|た|声|（|たぶん,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,君がこの程度の演奏をずっと馬鹿正直に聴いている必要なんかないだろうに。,马赛尔，你在想什么? / 这种程度的演奏，你根本没有必要认真听啊。,2:2,1.0,
both-book02-11043-107464,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,107464,11043,2050,の|中|で|聞い|た|言葉|だっ|た|。|普通|の|生活|が|あっ|て|こそ|の|音楽|だ|と,ずっと,思っ|て|い|た|はず|な|の|に|、|しょせん|は|「|酸っぱい|葡萄|」|の|よう|な|もの|で,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,普通の生活があってこその音楽だとずっと思っていたはずなのに、しょせんは「酸っぱい葡萄」のようなもので、もし自分が抜きん出た才能を持っていたら迷わずプロの音楽家の道を選んだだろうし、それ以外の職に就くことなど考えもしなかっただろう。,他一直以为，有普通的生活，才有音乐，但也可以解释为“酸葡萄心理”。 / 如果自己真的有出类拔萃的才华，应该会毫不犹豫地选择职业钢琴家的道路吧，根本不会去想选择其他的职业。,1:2,1.0,
both-book02-11063-107873,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,107873,11063,2070,ぎくしゃく|し|た|もの|が|あっ|た|。|だ|が|無理|だ|。|今日|だけ|は|、|無理|だ|。,ずっと,カメラ|に|付い|て|こ|られ|たら|、|自分|が|どんな|罵詈|雑言|を|雅美|に|投げつける|か|想像|も,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,ずっとカメラに付いてこられたら、自分がどんな罵詈雑言を雅美に投げつけるか想像もつかないし、ひどい言葉で罵るのを自分でも制御できないに違いない。,摄像机这样一直跟着自己，难以想象自己会怎样对雅美破口大骂。 / 到时候会说出什么样过分的话，连自己都难以控制。,1:2,1.0,
both-book02-11097-108521,1,ずっと,Aっと,ずっと,ずっと,both,book02,蜜蜂と遠雷,蜜蜂与远雷,108521,11097,2104,もの|だ|。|撮る|の|を|仕事|に|し|て|いる|雅美|で|すら|そう|な|の|だ|から|、,ずっと,カメラ|が|そば|に|い|て|撮ら|れる|と|いう|の|は|、|常人|の|神経|に|とっ|て|は,ずっと,ずっと,ズット,19640,副詞,ずっと,ズット,和,撮るのを仕事にしている雅美ですらそうなのだから、ずっとカメラがそばにいて撮られるというのは、常人の神経にとっては多大なストレスである。,就算以拍摄为职业的雅美也这么觉得。 / 镜头一直在身边，自己一直被拍摄，对平常人的神经来说，都会造成巨大的压力。,1:2,1.0,
